vectorAddCPU took 203 milliseconds to execute.
grid_size:1 block_size:1 vectorAddCUDASerial took 10285 milliseconds to execute.
cpu and gpu max diff:0
grid_size,block_size,elasped_time,max_diff
76958,872,161,0
76870,873,122,0
76782,874,162,0
76694,875,162,0
76607,876,113,0
76519,877,162,0
76432,878,114,0
76345,879,162,0
76259,880,117,0
76172,881,162,0
76086,882,110,0
75999,883,99,0
75914,884,106,0
75828,885,162,0
75742,886,122,0
75657,887,162,0
75572,888,126,0
75487,889,162,0
75402,890,123,0
75317,891,162,0
75233,892,123,0
75148,893,99,0
75064,894,142,0
74980,895,104,0
74897,896,158,0
74813,897,126,0
74730,898,162,0
74647,899,162,0
74564,900,108,0
74481,901,162,0
74399,902,102,0
74316,903,162,0
74234,904,125,0
74152,905,162,0
74070,906,162,0
73988,907,127,0
73907,908,108,0
73826,909,162,0
73745,910,118,0
73664,911,124,0
73583,912,157,0
73502,913,122,0
73422,914,162,0
73342,915,162,0
73261,916,98,0
73182,917,162,0
73102,918,112,0
73022,919,162,0
72943,920,118,0
72864,921,162,0
72785,922,162,0
72706,923,109,0
72627,924,120,0
72549,925,162,0
72470,926,128,0
72392,927,162,0
72314,928,103,0
72236,929,118,0
72159,930,162,0
72081,931,101,0
72004,932,161,0
71927,933,129,0
71850,934,162,0
71773,935,162,0
71696,936,160,0
71619,937,100,0
71543,938,161,0
71467,939,115,0
71391,940,161,0
71315,941,128,0
71239,942,162,0
71164,943,103,0
71088,944,157,0
71013,945,162,0
70938,946,162,0
70863,947,96,0
70788,948,161,0
70714,949,127,0
70639,950,100,0
70565,951,162,0
70491,952,116,0
70417,953,162,0
70343,954,161,0
70270,955,114,0
70196,956,161,0
70123,957,113,0
70050,958,162,0
69976,959,120,0
69904,960,99,0
69831,961,162,0
69758,962,109,0
69686,963,161,0
69614,964,108,0
69541,965,128,0
69469,966,161,0
69398,967,162,0
69326,968,129,0
69254,969,99,0
69183,970,102,0
69112,971,161,0
69041,972,105,0
68970,973,161,0
68899,974,117,0
68828,975,161,0
68758,976,121,0
68687,977,107,0
68617,978,105,0
68547,979,161,0
68477,980,101,0
68407,981,161,0
68337,982,108,0
68268,983,162,0
68199,984,160,0
68129,985,118,0
68060,986,161,0
67991,987,127,0
67922,988,144,0
67854,989,161,0
67785,990,125,0
67717,991,161,0
67649,992,157,0
67580,993,107,0
67512,994,161,0
67445,995,103,0
67377,996,161,0
67309,997,117,0
67242,998,135,0
67175,999,103,0
67107,1000,123,0
67040,1001,161,0
66973,1002,125,0
66907,1003,161,0
66840,1004,126,0
66773,1005,134,0
66707,1006,161,0
66641,1007,114,0
66575,1008,157,0
66509,1009,127,0
66443,1010,161,0
66377,1011,113,0
66312,1012,160,0
66246,1013,118,0
66181,1014,161,0
66116,1015,113,0
66051,1016,160,0
65986,1017,107,0
65921,1018,161,0
65856,1019,104,0
65792,1020,161,0
65727,1021,103,0
65663,1022,161,0
65599,1023,114,0
65535,1024,97,0
